date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:55	48832/48832	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Oct%202020%2014:00:45%20GMT	https://theamitmiglani.com/	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/index.html	(from )
19:31:55	243/243	---M-Z	200	added ('OK')	text/plain	date:Mon,%2026%20Oct%202020%2014:01:56%20GMT	https://theamitmiglani.com/robots.txt		(from )
19:31:56	6888/6888	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2019%20Dec%202019%2008:35:29%20GMT	https://theamitmiglani.com/wp-content/plugins/social-warfare/assets/fonts/sw-icon-font.eot?ver=3.6.1	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/social-warfare/assets/fonts/sw-icon-fonta7a0.eot	(from https://theamitmiglani.com/)
19:31:56	4900/4900	---M-Z	200	added ('OK')	application/font-woff	date:Thu,%2019%20Dec%202019%2008:35:29%20GMT	https://theamitmiglani.com/wp-content/plugins/social-warfare/assets/fonts/sw-icon-font.woff?ver=3.6.1	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/social-warfare/assets/fonts/sw-icon-fonta7a0.woff	(from https://theamitmiglani.com/)
19:31:56	6660/6660	---M-Z	200	added ('OK')	application/vnd.ms-opentype	date:Thu,%2019%20Dec%202019%2008:35:29%20GMT	https://theamitmiglani.com/wp-content/plugins/social-warfare/assets/fonts/sw-icon-font.ttf?ver=3.6.1	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/social-warfare/assets/fonts/sw-icon-fonta7a0.ttf	(from https://theamitmiglani.com/)
19:31:56	12829/12829	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Dec%202019%2008:35:29%20GMT	https://theamitmiglani.com/wp-content/plugins/social-warfare/assets/fonts/sw-icon-font.svg?ver=3.6.1	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/social-warfare/assets/fonts/sw-icon-fonta7a0.svg	(from https://theamitmiglani.com/)
19:31:57	2208/2208	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202019%2008:35:29%20GMT	https://theamitmiglani.com/wp-content/plugins/social-warfare/assets/js/post-editor/dist/blocks.style.build.css?ver=5.2.7&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/social-warfare/assets/js/post-editor/dist/blocks.style.build7e03.css	(from https://theamitmiglani.com/)
19:31:59	57945/57945	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Oct%202019%2010:04:22%20GMT	https://theamitmiglani.com/wp-content/themes/academy-pro/style.css?ver=1.0.6&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/themes/academy-pro/stylebee4.css	(from https://theamitmiglani.com/)
19:31:59	29295/29295	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202019%2022:10:04%20GMT	https://theamitmiglani.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.7&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-includes/css/dist/block-library/style.min7e03.css	(from https://theamitmiglani.com/)
19:31:59	2967/2967	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Aug%202020%2013:36:08%20GMT	https://theamitmiglani.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=2.7.3&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style7db0.css	(from https://theamitmiglani.com/)
19:32:00	709/709	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2026%20Oct%202020%2014:02:00%20GMT	https://theamitmiglani.com/comments/feed/	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/comments/feed/index.html	(from https://theamitmiglani.com/)
19:32:00	146335/146335	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Aug%202020%2013:36:10%20GMT	https://theamitmiglani.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.7.3&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style7db0.css	(from https://theamitmiglani.com/)
19:32:01	83139/83139	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202019%2022:10:04%20GMT	https://theamitmiglani.com/wp-includes/css/dist/components/style.min.css?ver=5.2.7&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-includes/css/dist/components/style.min7e03.css	(from https://theamitmiglani.com/)
19:32:01	2219/2219	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Dec%202018%2023:59:50%20GMT	https://theamitmiglani.com/wp-includes/css/dist/nux/style.min.css?ver=5.2.7&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-includes/css/dist/nux/style.min7e03.css	(from https://theamitmiglani.com/)
19:32:02	73588/73588	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202019%2022:10:04%20GMT	https://theamitmiglani.com/wp-includes/css/dist/block-editor/style.min.css?ver=5.2.7&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-includes/css/dist/block-editor/style.min7e03.css	(from https://theamitmiglani.com/)
19:32:02	16122/16122	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202019%2022:10:04%20GMT	https://theamitmiglani.com/wp-includes/css/dist/editor/style.min.css?ver=5.2.7&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-includes/css/dist/editor/style.min7e03.css	(from https://theamitmiglani.com/)
19:32:02	13867/13867	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2018%20Aug%202020%2008:37:12%20GMT	https://theamitmiglani.com/feed/	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/feed/index.html	(from https://theamitmiglani.com/)
19:32:02	0/0	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Jun%202020%2009:53:01%20GMT	https://theamitmiglani.com/wp-content/plugins/captainform/admin/gutenberg/blocks.style.build.css?ver=5.2.7&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/captainform/admin/gutenberg/blocks.style.build7e03.css	(from https://theamitmiglani.com/)
19:32:02	1645/1645	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202019%2016:29:27%20GMT	https://theamitmiglani.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/contact-form-7/includes/css/styles30ca.css	(from https://theamitmiglani.com/)
19:32:03	8323/8323	---M--	200	added ('OK')	text/css	date:Sun,%2026%20Jan%202020%2020:44:58%20GMT	https://theamitmiglani.com/wp-content/plugins/rate-my-post/public/css/rate-my-post.css?ver=3.0.0&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/rate-my-post/public/css/rate-my-post5606.css	(from https://theamitmiglani.com/)
19:32:03	2047/2047	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Aug%202020%2017:54:38%20GMT	https://theamitmiglani.com/wp-content/plugins/templately/assets/css/editor.css?ver=1.1.2&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/templately/assets/css/editor91aa.css	(from https://theamitmiglani.com/)
19:32:03	17639/17639	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Aug%202020%2013:36:01%20GMT	https://theamitmiglani.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.3.2&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout2aa5.css	(from https://theamitmiglani.com/)
19:32:03	6758/6758	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Aug%202020%2013:36:01%20GMT	https://theamitmiglani.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=4.3.2&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen2aa5.css	(from https://theamitmiglani.com/)
19:32:04	62511/62511	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Aug%202020%2013:36:05%20GMT	https://theamitmiglani.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=4.3.2&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/woocommerce/assets/css/woocommerce2aa5.css	(from https://theamitmiglani.com/)
19:32:04	26514/26514	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Oct%202019%2010:04:22%20GMT	https://theamitmiglani.com/wp-content/themes/academy-pro/lib/woocommerce/academy-woocommerce.css?ver=1.0.6&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/themes/academy-pro/lib/woocommerce/academy-woocommercebee4.css	(from https://theamitmiglani.com/)
19:32:04	369/369	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202019%2013:22:48%20GMT	https://theamitmiglani.com/wp-content/plugins/easy-table-of-contents/vendor/icomoon/style.min.css?ver=1.7&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/easy-table-of-contents/vendor/icomoon/style.min71cd.css	(from https://theamitmiglani.com/)
19:32:05	5330/5330	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202019%2013:22:48%20GMT	https://theamitmiglani.com/wp-content/plugins/easy-table-of-contents/assets/css/screen.min.css?ver=1.7&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/easy-table-of-contents/assets/css/screen.min71cd.css	(from https://theamitmiglani.com/)
19:32:05	24531/24531	---M--	200	added ('OK')	text/css	date:Sat,%2005%20Oct%202019%2011:46:49%20GMT	https://theamitmiglani.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.css?ver=1.5.5.1&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-basea551.css	(from https://theamitmiglani.com/)
19:32:06	48952/48952	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202019%2008:35:29%20GMT	https://theamitmiglani.com/wp-content/plugins/social-warfare/assets/css/style.min.css?ver=3.6.1&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/social-warfare/assets/css/style.min74a9.css	(from https://theamitmiglani.com/)
19:32:06	361707/361707	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2014:00:44%20GMT	https://theamitmiglani.com/wp-content/uploads/essential-addons-elementor/cb70d11b8.min.css?ver=1603720844&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/uploads/essential-addons-elementor/cb70d11b8.minb4ec.css	(from https://theamitmiglani.com/)
19:32:07	12625/12625	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Oct%202019%2010:04:22%20GMT	https://theamitmiglani.com/wp-content/themes/academy-pro/css/sp-icons.css?ver=1.0.6&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/themes/academy-pro/css/sp-iconsbee4.css	(from https://theamitmiglani.com/)
19:32:07	20628/20628	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Nov%202019%2018:10:23%20GMT	https://theamitmiglani.com/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/socicon.css?ver=201908132&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/socicond762.css	(from https://theamitmiglani.com/)
19:32:07	28266/28266	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Nov%202019%2000:18:38%20GMT	https://theamitmiglani.com/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons5dcc.css	(from https://theamitmiglani.com/)
19:32:07	6758/6758	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Nov%202019%2018:10:23%20GMT	https://theamitmiglani.com/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/academicons.min.css?ver=20190406&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/academicons.min6615.css	(from https://theamitmiglani.com/)
19:32:08	30994/30994	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Nov%202019%2018:10:23%20GMT	https://theamitmiglani.com/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/font-awesome.min.css?ver=20180625&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/font-awesome.min8ae9.css	(from https://theamitmiglani.com/)
19:32:08	47558/47558	---M--	200	added ('OK')	text/css	date:Thu,%2016%20May%202019%2005:17:56%20GMT	https://theamitmiglani.com/wp-includes/css/dashicons.min.css?ver=5.2.7&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-includes/css/dashicons.min7e03.css	(from https://theamitmiglani.com/)
19:32:09	65844/65844	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Aug%202020%2013:42:17%20GMT	https://theamitmiglani.com/wp-content/plugins/wp-coupons-and-deals/assets/css/dist/style.min.css?ver=3.0.3&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/plugins/wp-coupons-and-deals/assets/css/dist/style.minf3d1.css	(from https://theamitmiglani.com/)
19:32:09	9605/9605	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Oct%202019%2010:04:22%20GMT	https://theamitmiglani.com/wp-content/themes/academy-pro/css/style-front.css?ver=1.0.6&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/themes/academy-pro/css/style-frontbee4.css	(from https://theamitmiglani.com/)
19:32:09	335/335	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Oct%202020%2014:02:10%20GMT	http://theamitmiglani.com/wp-content/uploads/pum/pum-site-styles.css?generated=1576775982&ver=1.8.14&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/uploads/pum/pum-site-styles.22178a.delayed	(from https://theamitmiglani.com/)
19:32:09	15907/15907	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202019%2017:19:42%20GMT	https://theamitmiglani.com/wp-content/uploads/pum/pum-site-styles.css?generated=1576775982&ver=1.8.14&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-content/uploads/pum/pum-site-styles178a.css	(from https://theamitmiglani.com/)
19:32:10	96873/96873	---M--	200	added ('OK')	application/x-javascript	date:Sat,%2018%20May%202019%2002:38:54%20GMT	https://theamitmiglani.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp&189db0&189db0	C:/My%20Web%20Sites/theamitmiglani/theamitmiglani.com/wp-includes/js/jquery/jqueryf394.js	(from https://theamitmiglani.com/)
